layout,channel,x,y,z
standard_1005,PO7,-0.054840400000000004,-0.0975279,0.0027919999999999998
standard_1005,PO5,-0.0484244,-0.0993408,0.021599
standard_1005,PO3,-0.0365114,-0.10085290000000001,0.037167
standard_1005,PO1,-0.0189724,-0.101768,0.046536
standard_1005,POz,0.0002156,-0.10217799999999999,0.050608
standard_1005,PO2,0.019877600000000002,-0.10179300000000001,0.046393000000000004
standard_1005,PO4,0.0367816,-0.10084910000000001,0.036397
standard_1005,PO6,0.0498196,-0.0994461,0.021727
standard_1005,PO8,0.055666600000000004,-0.0976251,0.00273
standard_1005,PO10,0.0549876,-0.0980911,-0.035540999999999996
standard_1005,O1,-0.0294134,-0.112449,0.008839
standard_1005,Oz,0.0001076,-0.114892,0.014657
standard_1005,O2,0.0298426,-0.112156,0.0088
standard_1005,I1,-0.029818400000000002,-0.11456999999999999,-0.029216000000000002
standard_1005,Iz,4.499999999999999e-06,-0.118565,-0.023077999999999998
standard_1005,I2,0.0297416,-0.11426,-0.029256
standard_1005,AFp9h,-0.0432897,0.0758552,-0.028244
standard_1005,AFp7h,-0.038551699999999994,0.0799532,-0.004995
standard_1005,AFp5h,-0.027985700000000002,0.08245910000000001,0.002702
standard_1005,AFp3h,-0.0171947,0.08484910000000001,0.010027
standard_1005,AFp1h,-0.0059317,0.086878,0.0162
standard_1005,AFp2h,0.0071053,0.087074,0.016469
standard_1005,AFp4h,0.0189233,0.0855969,0.011443
standard_1005,AFp6h,0.0286443,0.08297589999999999,0.002828
standard_1005,AFp8h,0.0393203,0.0806868,-0.004725
standard_1005,AFp10h,0.0438223,0.0765418,-0.028307
standard_1005,AFF9h,-0.0632538,0.053857300000000004,-0.030316
standard_1005,AFF7h,-0.0613508,0.058799199999999996,0.000897
standard_1005,AFF5h,-0.0507998,0.0640412,0.023089
standard_1005,AFF3h,-0.0343157,0.0683931,0.041188
standard_1005,AFF1h,-0.0114357,0.0707561,0.050348
standard_1005,AFF2h,0.0134793,0.07120099999999999,0.051175
standard_1005,AFF4h,0.0361833,0.06915089999999999,0.041254
standard_1005,AFF6h,0.0523972,0.06507080000000001,0.022861999999999997
standard_1005,AFF8h,0.0629152,0.0600448,0.00063
standard_1005,AFF10h,0.0643342,0.054599800000000004,-0.030444
standard_1005,FFT9h,-0.07906690000000001,0.0280813,-0.031253
standard_1005,FFT7h,-0.0744999,0.0313003,0.0048460000000000005
standard_1005,FFC5h,-0.0652379,0.036428199999999994,0.036143999999999996
standard_1005,FFC3h,-0.0444098,0.0407622,0.061689999999999995
standard_1005,FFC1h,-0.0154238,0.04366,0.077682
standard_1005,FFC2h,0.0175922,0.044054,0.077788
standard_1005,FFC4h,0.045853200000000004,0.0416228,0.060647
standard_1005,FFC6h,0.06712810000000001,0.037799799999999995,0.035296
standard_1005,FFT8h,0.0780531,0.032981699999999996,0.004483
standard_1005,FFT10h,0.0800971,0.0285137,-0.031338
standard_1005,FTT9h,-0.084125,-0.0018467,-0.029794
standard_1005,FTT7h,-0.082355,0.0008263000000000001,0.008579
standard_1005,FCC5h,-0.074692,0.0043033,0.045307
standard_1005,FCC3h,-0.051050899999999996,0.0071772,0.074377
standard_1005,FCC1h,-0.018219000000000003,0.009094099999999999,0.092529
standard_1005,FCC2h,0.018786999999999998,0.0092479,0.091562
standard_1005,FCC4h,0.0518851,0.0077978,0.073507
standard_1005,FCC6h,0.077002,0.0053357000000000005,0.04535
standard_1005,FTT8h,0.083888,0.0019457,0.008501
standard_1005,FTT10h,0.084123,-0.0018083,-0.029638
standard_1005,TTP9h,-0.0869731,-0.0322157,-0.027847999999999998
standard_1005,TTP7h,-0.0855651,-0.0306287,0.011153
standard_1005,CCP5h,-0.0764071,-0.0297307,0.049217
standard_1005,CCP3h,-0.0529281,-0.0289058,0.080304
standard_1005,CCP1h,-0.018354099999999998,-0.0283219,0.09822
standard_1005,CCP2h,0.0202199,-0.0281481,0.098172
standard_1005,CCP4h,0.0551139,-0.0283862,0.080474
standard_1005,CCP6h,0.07900589999999999,-0.0289863,0.049628
standard_1005,TTP8h,0.08599989999999999,-0.0298203,0.011248
standard_1005,TTP10h,0.08862489999999999,-0.032272300000000004,-0.028
standard_1005,TPP9h,-0.0781602,-0.060756700000000004,-0.023824
standard_1005,TPP7h,-0.0766802,-0.060831699999999995,0.01288
standard_1005,CPP5h,-0.0681152,-0.0629747,0.047252
standard_1005,CPP3h,-0.0469142,-0.06469079999999999,0.075296
standard_1005,CPP1h,-0.0158202,-0.0655999,0.091164
standard_1005,CPP2h,0.019419799999999997,-0.065595,0.092405
standard_1005,CPP4h,0.0506738,-0.0644822,0.07612999999999999
standard_1005,CPP6h,0.0710958,-0.0626243,0.047328
standard_1005,TPP8h,0.0785198,-0.0604323,0.012901999999999999
standard_1005,TPP10h,0.07890269999999999,-0.060955300000000004,-0.023805
standard_1005,PPO9h,-0.06459730000000001,-0.0876558,-0.019014
standard_1005,PPO7h,-0.0629593,-0.08750279999999999,0.012952
standard_1005,PPO5h,-0.054010300000000004,-0.0898988,0.037332000000000004
standard_1005,PPO3h,-0.0358874,-0.0916669,0.055504
standard_1005,PPO1h,-0.0120474,-0.09260689999999999,0.065508
standard_1005,PPO2h,0.013922599999999999,-0.092694,0.066958
standard_1005,PPO4h,0.0377986,-0.09162909999999999,0.056733
standard_1005,PPO6h,0.054608699999999996,-0.08964019999999999,0.037035
standard_1005,PPO8h,0.06311169999999999,-0.0872282,0.012856
standard_1005,PPO10h,0.0650137,-0.0878062,-0.018952
standard_1005,POO9h,-0.0428624,-0.10807299999999999,-0.013151
standard_1005,POO7h,-0.040120399999999994,-0.107129,0.012061
standard_1005,POO5h,-0.0319514,-0.108252,0.023047
standard_1005,POO3h,-0.019862400000000002,-0.108942,0.02976
standard_1005,POO1h,-0.0069194,-0.10926000000000001,0.03271
standard_1005,POO2h,0.0068036,-0.109163,0.031582
standard_1005,POO4h,0.020293600000000002,-0.108914,0.028943999999999998
standard_1005,POO6h,0.032175600000000006,-0.108252,0.022255
standard_1005,POO8h,0.0410976,-0.10724500000000001,0.012138
standard_1005,POO10h,0.0438946,-0.109127,-0.01317
standard_1005,OI1h,-0.0148504,-0.117987,-0.00692
standard_1005,OI2h,0.0150946,-0.118018,-0.006933
standard_1005,Fp1h,-0.014810700000000001,0.0872351,-0.004477
standard_1005,Fp2h,0.0151623,0.08809099999999999,-0.004551
standard_1005,AF9h,-0.0548298,0.0664132,-0.029704
standard_1005,AF7h,-0.0511757,0.0708362,-0.0017549999999999998
standard_1005,AF5h,-0.0396407,0.07486709999999999,0.013678000000000001
standard_1005,AF3h,-0.0272187,0.0787091,0.028375
standard_1005,AF1h,-0.0091977,0.0806051,0.035133000000000005
standard_1005,AF2h,0.0104823,0.08086499999999999,0.035359
standard_1005,AF4h,0.0285803,0.0793029,0.02847
standard_1005,AF6h,0.0409403,0.0757399,0.013859999999999999
standard_1005,AF8h,0.0520293,0.0718468,-0.0019199999999999998
standard_1005,AF10h,0.0557542,0.0671698,-0.029824000000000003
standard_1005,F9h,-0.07150790000000001,0.041119300000000004,-0.030854
standard_1005,F7h,-0.0685558,0.0452843,0.003002
standard_1005,F5h,-0.0584878,0.050672199999999994,0.030192
standard_1005,F3h,-0.039979799999999996,0.0552601,0.0526
standard_1005,F1h,-0.013383800000000001,0.0579021,0.064332
standard_1005,F2h,0.0158342,0.0584559,0.06499200000000001
standard_1005,F4h,0.0417942,0.0562259,0.051499
standard_1005,F6h,0.0600522,0.0520858,0.028707999999999997
standard_1005,F8h,0.0719592,0.047191699999999996,0.002475
